ADP,Player,Team,Pos,CMP,ATT,Pass YDS,Pass TDS,INT,CAR,Rush YDS,Rush TDS,REC,Rec YDS,Rec TDS,TAR,FPTS,Avg
29.7,Tyreek Hill,MIA,WR,0,0,0,0,0,8,50,0,94,1186,7,136,278.2,16.4
36.4,Davante Adams,LAR,WR,0,0,0,0,0,0,0,0,85,1171,9,137,270.7,15.9
40.9,Jaxon Smith-Njigba,SEA,WR,0,0,0,0,0,6,39,0,90,1105,6,133,275.5,16.2
45.3,Terry McLaurin,WAS,WR,0,0,0,0,0,2,13,0,86,1150,7,129,266.8,15.7
44.2,Garrett Wilson,NYJ,WR,0,0,0,0,0,5,25,0,90,1162,5,144,296.8,17.5
47.3,Marvin Harrison,ARI,WR,0,0,0,0,0,0,0,0,83,1144,7,139,282.2,16.6
49,Mike Evans,TB,WR,0,0,0,0,0,0,0,0,80,1029,9,122,282.5,16.6
50.8,DK Metcalf,PIT,WR,0,0,0,0,0,0,0,0,82,1180,7,137,280.7,16.5
57.2,Xavier Worthy,KC,WR,0,0,0,0,0,20,113,2,76,994,7,116,261,15.4
62.6,DJ Moore,CHI,WR,0,0,0,0,0,9,50,0,88,1064,6,133,279.2,16.4
65.4,Rashee Rice,KC,WR,0,0,0,0,0,2,9,0,80,905,6,106,259.3,15.3
65.1,Zay Flowers,BAL,WR,0,0,0,0,0,10,63,0,74,1073,7,114,264.8,15.6
69.6,Courtland Sutton,DEN,WR,0,0,0,0,0,0,0,0,75,1017,9,125,262.4,15.4
76.4,Calvin Ridley,TEN,WR,0,0,0,0,0,8,50,0,70,1105,7,131,262.9,15.5
72.8,DeVonta Smith,PHI,WR,0,0,0,0,0,0,0,0,88,997,6,119,257,15.1
80.4,Jaylen Waddle,MIA,WR,0,0,0,0,0,4,23,0,87,1080,5,124,365.5,21.5
81.3,Jerry Jeudy,CLE,WR,0,0,0,0,0,0,0,0,90,1178,3,141,362.7,21.3
80.3,Jameson Williams,DET,WR,0,0,0,0,0,10,74,1,66,1083,5,109,367.3,21.6
75.5,George Pickens,DAL,WR,0,0,0,0,0,2,12,0,72,1023,8,117,364.5,21.4
89.4,Rome Odunze,CHI,WR,0,0,0,0,0,2,13,0,72,1012,7,122,271,15.9
71.3,Travis Hunter,JAX,WR,0,0,0,0,0,4,25,0,80,966,6,121,268.5,15.8
89.5,Tetairoa McMillan,CAR,WR,0,0,0,0,0,0,0,0,75,1027,6,121,243,14.3
101.4,Chris Godwin,TB,WR,0,0,0,0,0,2,10,0,74,844,6,100,246.8,14.5
99.4,Jakobi Meyers,LV,WR,0,0,0,0,0,2,12,0,88,986,5,126,240.6,14.2
99.8,Chris Olave,NO,WR,0,0,0,0,0,0,0,0,83,1007,4,128,263.7,15.5
93.3,Cooper Kupp,SEA,WR,0,0,0,0,0,2,13,0,78,936,5,117,264.8,15.6
99.5,Stefon Diggs,NE,WR,0,0,0,0,0,2,13,0,82,917,4,117,328.9,19.3
98.6,Matthew Golden,GB,WR,0,0,0,0,0,0,0,0,68,957,7,113,225.4,13.3
103,Jordan Addison,MIN,WR,0,0,0,0,0,2,10,0,67,831,6,108,257.3,15.1
112.7,Khalil Shakir,BUF,WR,0,0,0,0,0,0,0,0,83,943,5,111,261.4,15.4
118.3,Keon Coleman,BUF,WR,0,0,0,0,0,0,0,0,51,852,8,91,240,14.1
115.1,Jauan Jennings,SF,WR,0,0,0,0,0,0,0,0,74,1008,5,113,247.3,14.5
109.5,Deebo Samuel,WAS,WR,0,0,0,0,0,27,121,2,63,894,5,97,233.1,13.7
123,Ricky Pearsall,SF,WR,0,0,0,0,0,4,29,0,65,938,4,101,233.6,13.7
124.6,Michael Pittman,IND,WR,0,0,0,0,0,0,0,0,80,887,3,121,237.2,14
125.1,Jayden Reed,GB,WR,0,0,0,0,0,15,108,1,61,750,5,89,240.4,14.1
132.8,Darnell Mooney,ATL,WR,0,0,0,0,0,0,0,0,61,840,4,101,239.5,14.1
134.1,Rashid Shaheed,NO,WR,0,0,0,0,0,6,39,0,62,925,4,105,238.2,14
135.8,Jayden Higgins,HOU,WR,0,0,0,0,0,0,0,0,59,821,4,93,352.7,20.7
128.9,Emeka Egbuka,TB,WR,0,0,0,0,0,4,28,0,49,642,5,77,335.8,19.8
145.7,Jack Bech,LV,WR,0,0,0,0,0,0,0,0,45,583,3,69,323.5,19
159.8,Marvin Mims,DEN,WR,0,0,0,0,0,22,108,1,44,627,4,65,325.1,19.1
157.4,Adam Thielen,CAR,WR,0,0,0,0,0,0,0,0,73,708,4,99,317.1,18.7
155.9,Xavier Legette,CAR,WR,0,0,0,0,0,8,47,0,57,699,4,94,315.5,18.6
165.4,Luther Burden,CHI,WR,0,0,0,0,0,4,26,0,43,502,3,66,322.1,18.9
166.8,Cedric Tillman,CLE,WR,0,0,0,0,0,0,0,0,63,816,3,107,310,18.2
162.1,Hollywood Brown,KC,WR,0,0,0,0,0,0,0,0,54,746,5,93,290.3,17.1
161.6,Brandon Aiyuk,SF,WR,0,0,0,0,0,0,0,0,34,528,3,54,300,17.6
161,Tre Harris,LAC,WR,0,0,0,0,0,0,0,0,60,793,5,95,297.9,17.5
167.5,Kyle Williams,NE,WR,0,0,0,0,0,2,14,0,42,523,3,66,306.1,18
160.3,Josh Downs,IND,WR,0,0,0,0,0,0,0,0,69,748,3,103,278.2,16.4
167.9,Quentin Johnston,LAC,WR,0,0,0,0,0,2,12,0,52,754,5,89,270.7,15.9
169,Wan'Dale Robinson,NYG,WR,0,0,0,0,0,2,13,0,69,675,2,100,275.5,16.2
167.3,Rashod Bateman,BAL,WR,0,0,0,0,0,0,0,0,43,611,5,68,266.8,15.7
169.4,Jalen McMillan,TB,WR,0,0,0,0,0,3,18,0,32,409,4,51,296.8,17.5
169.6,Christian Kirk,HOU,WR,0,0,0,0,0,0,0,0,42,539,3,66,280.7,16.5
169.9,Keenan Allen,WAS,WR,0,0,0,0,0,0,0,0,0,0,0,0,261,15.4
169.4,Romeo Doubs,GB,WR,0,0,0,0,0,0,0,0,47,566,4,75,279.2,16.4
169.4,Tyler Lockett,TEN,WR,0,0,0,0,0,0,0,0,46,497,4,71,259.3,15.3
169.9,DeMario Douglas,NE,WR,0,0,0,0,0,2,14,0,53,593,3,76,264.8,15.6
168.9,DeAndre Hopkins,BAL,WR,0,0,0,0,0,0,0,0,29,341,4,46,367.3,21.6
169.9,Dont'e Thornton,LV,WR,0,0,0,0,0,0,0,0,26,317,1,40,364.5,21.4
169.9,Amari Cooper,DAL,WR,0,0,0,0,0,0,0,0,0,0,0,0,268.5,15.8
170,Dyami Brown,JAX,WR,0,0,0,0,0,0,0,0,40,517,3,63,246.8,14.5
170,Jaylin Noel,HOU,WR,0,0,0,0,0,0,0,0,24,305,2,38,257.3,15.1
170,Jalen Coker,CAR,WR,0,0,0,0,0,0,0,0,29,339,2,44,240,14.1
170,Alec Pierce,IND,WR,0,0,0,0,0,0,0,0,25,357,2,47,233.1,13.7
